Country,Date,life_exp,access_to_electricity,trade_in_services,foreign_investm,perc_overweigth,child_immunization,gdp_per_cap,net_primary_income,rural_population,primary_school_completion,armed_forces,measels_immunitization
Finland,2020,81.9317073170732,100.0,23.1160481028953,1.8246045662131,70.68297004564738,108.92470492470511,49170.7521512441,4597339338.52141,14.483,99.0317611694336,24174.71286899096,95.0
Fiji,2020,67.924,100.0,20.3003519291966,0.30073830942083,62.84279501931246,99.0,4864.11704680273,-281066847.001926,42.753,107.327613830566,3543.6302194343552,96.0
France,2020,82.1756097560976,100.0,17.8430765088764,0.750607219310716,69.71537962887942,83.04241926655722,39055.2829280754,40975143212.4515,19.025,104.67720458436713,260727.51186623983,92.0
Faroe Islands,2020,83.1975609756098,100.0,35.30466820015545,0.353758868497819,42.51357264403214,79.73672687465792,61980.2900239725,93609085.767567,57.602,94.56049920419059,649774.5366368107,36.56275303643724
"Micronesia, Fed. Sts.",2020,70.674,78.8252334594727,27.45649434846655,-0.160333910481121,74.78719444669514,84.0,3639.41269869588,46400000.0,77.067,79.3957214355469,649774.5366368107,79.0
Gabon,2020,66.531,27.7633018493652,8.674289550408503,1.3586386571962876,36.111816978635034,85.0,6680.08267035383,-813473233.766116,9.908,66.41158863950284,6631.763536214654,53.0
United Kingdom,2020,80.3512195121951,100.0,22.6849766700066,-0.164342621503311,71.64423736596177,88.32204502814258,40318.5575660493,-60756443228.6864,16.097,99.4334030151367,118839.66792194359,91.0
Georgia,2020,72.765,100.0,19.1631693441016,-0.0952662972934992,56.1663074305161,96.0,4255.74299321254,-738591150.27173,40.547,93.5300521850586,31324.173789173772,91.0
Ghana,2020,64.114,73.9913177490234,28.1574181478218,0.7743992246732,22.38413148583311,93.0,2176.57945945697,733428186.382942,42.651,92.02165363357017,15404.212282586319,88.0
Gibraltar,2020,82.198,100.0,3.732049212175184,-0.3251112188996963,4.9117548550900665,50.01754385964932,255.830918237583,-18309859.1549296,0.0,105.947143554688,5074.159486206656,19.72973556978104
Guinea,2020,59.327,19.307596206665,18.697493992394,0.0166456998838318,19.075828539016356,72.0,1073.65933709951,-1316385550.41377,63.125,59.3511085510254,14037.749411468918,47.0
"Gambia, The",2020,62.612,31.5626850128174,11.8526422016521,-0.192245219724738,24.813923777111654,85.0,704.029916035493,-26910890.3201254,37.418,82.2642517089844,1465.5795031197922,82.0
Guinea-Bissau,2020,59.999,15.1680898666382,10.5355987525239,0.0219512193401604,22.356537827836632,67.0,710.258138543444,24496773.7227799,55.804,66.47306590866492,4862.769577365252,72.0
Equatorial Guinea,2020,60.708,0.932630002498627,81.47713294609866,0.0,19.35246198309153,85.0,6327.59901151363,-2644627901.99901,26.9,44.70884217281281,1241.8524444038121,53.0
Greece,2020,81.2878048780488,100.0,23.0634923833647,0.343151388024984,71.5497555573561,46.165476190476284,17658.9473011192,-920260551.803894,20.285,100.603317260742,133832.21783304494,97.0
Grenada,2020,74.924,100.0,60.850685050902,-0.0465637664080192,45.391548496880205,86.2833333333333,8437.56673228706,-72504518.5185185,63.463,121.88273984413786,238878.72513831966,83.0
Greenland,2020,71.6368292682927,100.0,21.871723293803143,0.0,16.24857791102818,86.2833333333333,54571.2091605745,-197564136.47319317,12.718,85.63225827529959,238878.72513831966,48.278236397748515
Guatemala,2020,71.797,96.62060546875,6.97255033197551,0.285668004971248,53.88084434000484,86.0,4604.57667897864,-1407287618.01158,48.164,80.736686706543,41965.47053041932,88.0
Guam,2020,76.612,100.0,6.672656100170059,-0.10611862216553669,20.675026334981112,23.94689787429479,34780.8616624614,-45900000.0,5.062,22.09135520206928,45862.57094896797,21.05291305404762
