Country,Date,life_exp,access_to_electricity,trade_in_services,foreign_investm,perc_overweigth,child_immunization,gdp_per_cap,net_primary_income,rural_population,primary_school_completion,armed_forces,measels_immunitization
Guam,2021,76.656,100.1346315069499,6.672656100170059,-0.10611862216553669,20.675026334981112,23.94689787429479,35904.8635462723,-45900000.0,4.985,22.09135520206928,45862.57094896797,21.05291305404762
Guyana,2021,65.673,90.90139480950143,39.7109072349824,0.0304135790250632,43.06904896955962,89.0,9998.54431136155,-389968406.235012,73.103,96.77945936798625,2247.8835131583182,94.0
High income,2021,79.9336700259053,99.9749750377608,15.2556820641883,3.21047120749782,66.1432494468022,70.58685141668684,48225.2412096793,-15095238.0952381,18.5325461879393,99.00523638218006,5213363.116542041,92.9741614976625
"Hong Kong SAR, China",2021,85.4926829268293,100.0,38.1570386744953,25.3121638201865,37.03324393843832,70.58685141668684,49800.5424137576,26368548345.5977,0.0,100.745300292969,8971439.416704386,63.34496520464836
Honduras,2021,70.123,81.97353544567295,18.6165483124054,1.86875810190306,55.13953758474463,82.0,2771.71746050946,-2316837866.98422,41.018,103.0902408662027,21475.683316583978,81.0
Heavily indebted poor countries (HIPC),2021,62.3027853999622,0.0,12.1219951836078,0.308793237722426,21.05476187445879,77.3787653578976,1035.70164847096,-33000000.0,62.4842056753744,67.87102071951472,1717433.9046236798,69.1687652865589
Croatia,2021,76.4243902439025,100.0,32.1713418127947,2.00163992165164,69.57743024606339,97.0,17685.3252834553,604937443.00241,42.122,100.41596207960481,0.0,89.0
Haiti,2021,63.192,1.3100989861687822,3.47842188760367,-0.008112915056225967,52.12537611754851,73.0,1829.59304417211,23079392.3427159,42.036,79.40988001168614,0.0,65.0
Hungary,2021,74.4658536585366,100.0,26.3693532672887,14.3035850897699,71.95696999162692,99.0,18728.1218948689,-5717745052.49211,27.755,96.56845515865984,20997.63236187352,99.0
IBRD only,2021,72.1250996282608,100.0,7.20023792593776,0.896723099699084,43.97298166004907,99.0,7235.96126958022,-1003585814.63699,43.1100277641597,98.04751218971637,17254690.46390432,87.2417673401923
IDA & IBRD total,2021,69.7801625288237,74.7464439968483,7.25538804457629,0.858275689485414,34.01949349643144,84.2327599357591,5684.92707423063,-1003585814.63699,48.0953305850381,90.12192577335009,22646956.180252016,80.7043015800802
